name,church,city,email,whatsapp
"Team National Shrine Cathedral of Our Lady of Guadalupe","National Shrine Cathedral of Our Lady of Guadalupe","Dallas","","+12148711362"
"Team Watermark Community Church","Watermark Community Church","Dallas","info@watermark.org","+12143612275"
"Team First Baptist Church","First Baptist Church","Dallas","info@firstdallas.org","+12149690111"
"Team Trinity Church Dallas","Trinity Church Dallas","Dallas","","+12145287343"
"Team Fellowship Church","Fellowship Church","Dallas","fcplanningcenter@fellowshipchurch.com","+19724715700"
"Team Gateway Church Dallas Campus","Gateway Church Dallas Campus","Dallas","","+14698017250"
"Team First Presbyterian Church of Dallas","First Presbyterian Church of Dallas","Dallas","marthai@fpcdallas.org","+12147488051"
"Team Church In Dallas","Church In Dallas","Dallas","office@churchindallas.org","+12144449446"
"Team Fellowship Dallas","Fellowship Dallas","Dallas","info@fellowshipdallas.org","+12147393881"
"Team Oak Cliff Bible Fellowship","Oak Cliff Bible Fellowship","Dallas","Johndoe@gmail.com","+12146729100"
"Team Shoreline City Church","Shoreline City Church","Dallas","info@shorelinecity.church","+14692707628"
"Team UPPERROOM Dallas","UPPERROOM Dallas","Dallas","","+19725908555"
"Team Northwest Bible Church","Northwest Bible Church","Dallas","connect@northwestbible.org","+14694537777"
"Team Concord Church","Concord Church","Dallas","","+12143318522"
"Team The Life Church - Dallas","The Life Church - Dallas","Dallas","office@tlcdallas.com","+12143529954"
"Team Dallas Bible Church","Dallas Bible Church","Dallas","","+19727703500"
"Team Social Dallas","Social Dallas","Dallas","","+19729223350"
"Team East Dallas Christian Church","East Dallas Christian Church","Dallas","","+12148248185"
"Team Cathedral Of Hope","Cathedral Of Hope","Dallas","","+12143511901"
"Team Trinity Bible Church of Dallas","Trinity Bible Church of Dallas","Dallas","admin@trinitybibledallas.org","+12147929805"
"Team St. Jude Chapel","St. Jude Chapel","Dallas","","+12147422508"
"Team San Juan Diego Catholic Church","San Juan Diego Catholic Church","Dallas","receptionist@sanjuandiegodallas.org","+12142714691"
"Team St. Patrick Catholic Church","St. Patrick Catholic Church","Dallas","","+12143487380"
"Team Christ the King Catholic Church","Christ the King Catholic Church","Dallas","user@domain.com","+12143651200"
"Team Grace Cathedral Church Of God In Christ","Grace Cathedral Church Of God In Christ","Dallas","","+12143029140"
"Team Church of the Incarnation","Church of the Incarnation","Dallas","info@incarnation.org","+12145215101"
"Team St. Monica Catholic Church","St. Monica Catholic Church","Dallas","","+12143581453"
"Team Holy Trinity Catholic Church","Holy Trinity Catholic Church","Dallas","","+12145268555"
"Team Highland Park United Methodist Church","Highland Park United Methodist Church","Dallas","","+12145213111"
"Team All Saints Catholic Church","All Saints Catholic Church","Dallas","","+19727780301"
"Team Catholic Diocese of Dallas","Catholic Diocese of Dallas","Dallas","","+12145282240"
"Team Perkins Chapel","Perkins Chapel","Dallas","perkins@mail.smu.edu","+12147688436"
"Team Bella Donna Chapel","Bella Donna Chapel","Dallas","","+19728367718"
"Team Thanks-Giving Square","Thanks-Giving Square","Dallas","user@domain.com","+12149691977"
"Team Hidden Pines Chapel | Highland Village","Hidden Pines Chapel | Highland Village","Dallas","","+19723177464"
"Team Chapel at Riverwalk","Chapel at Riverwalk","Dallas","","+19723177464"
"Team Marty Leonard Community Chapel","Marty Leonard Community Chapel","Dallas","","+18172552576"
"Team Chapel at Ana Villa","Chapel at Ana Villa","Dallas","","+19723177464"
"Team Winners Chapel International Dallas","Winners Chapel International Dallas","Dallas","user@domain.com","+12147749078"
"Team Pilgrim Chapel","Pilgrim Chapel","Dallas","","+12143337100"
"Team Calvary Chapel Dallas","Calvary Chapel Dallas","Dallas","info@ccdallastx.com","+19725168851"
"Team Victory Chapel Dallas","Victory Chapel Dallas","Dallas","info@vchapel.org","+12144848805"
"Team White Rock Chapel","White Rock Chapel","Dallas","","+19729800164"
"Team The Chapel of the Cross","The Chapel of the Cross","Dallas","office@thechapelofthecross.com","+12145216062"
"Team Believers Chapel","Believers Chapel","Dallas","","+19722395371"
"Team King's Dallas","King's Dallas","Dallas","","+12143905237"
"Team Hidden Pines Chapel | Hurst","Hidden Pines Chapel | Hurst","Dallas","","+19723177464"
"Team Little Chapel in-the-Woods","Little Chapel in-the-Woods","Dallas","LittleChapel@twu.edu","+19408983516"
"Team Interfaith Peace Chapel","Interfaith Peace Chapel","Dallas","","+12143511901"
"Team Cross Point Church","Cross Point Church","Nashville","","+16152984422"
"Team The Belonging Co","The Belonging Co","Nashville","","+16156568777"
"Team Nashville Life Church","Nashville Life Church","Nashville","user@domain.com","+16158384117"
"Team Belmont Church","Belmont Church","Nashville","info@belmont.org","+16152562123"
"Team Cornerstone Nashville","Cornerstone Nashville","Nashville","info@cornerstonenashville.org","+16158656655"
"Team Christ Church Nashville","Christ Church Nashville","Nashville","communications@ccnash.org","+16158346171"
"Team The Life Church - Nashville","The Life Church - Nashville","Nashville","","+19012059193"
"Team The Church In Nashville","The Church In Nashville","Nashville","mail@churchinashville.org","+16153333588"
"Team Citipointe Church Nashville","Citipointe Church Nashville","Nashville","nashville@citipointechurch.com","+16152355675"
"Team Church of the City - Downtown","Church of the City - Downtown","Nashville","info@churchofthecity.com",""
"Team Highland Park Church","Highland Park Church","Nashville","","+16153525710"
"Team Christ Church Cathedral","Christ Church Cathedral","Nashville","","+16152557729"
"Team Fellowship Nashville","Fellowship Nashville","Nashville","thoeks@fbctn.org","+16156564426"
"Team Nashville First Baptist Church","Nashville First Baptist Church","Nashville","","+16156646000"
"Team We Are Church Nashville","We Are Church Nashville","Nashville","shantel@wearechurchnashville.com","+16154450240"
"Team Grace Church: Nashville","Grace Church: Nashville","Nashville","gracechurchnashville@yahoo.com","+16155998057"
"Team Way Church","Way Church","Nashville","info@waychurch.com","+16292881400"
"Team St. Mary of the Seven Sorrows","St. Mary of the Seven Sorrows","Nashville","","+16152561704"
"Team Hope Church","Hope Church","Nashville","user@domain.com","+16155436464"
"Team Immanuel Nashville","Immanuel Nashville","Nashville","office@immanuelnashville.com",""
"Team Cathedral of the Incarnation","Cathedral of the Incarnation","Nashville","example@mysite.com","+16153272330"
"Team Church Of The Holy Rosary","Church Of The Holy Rosary","Nashville","user@domain.com","+16158894065"
"Team Iglesia Sagrado Corazon de Jesus","Iglesia Sagrado Corazon de Jesus","Nashville","","+16153913714"
"Team The Diocese of Nashville","The Diocese of Nashville","Nashville","john.hammond@dioceseofnashville.com","+16153836393"
"Team Christ the King Catholic Church","Christ the King Catholic Church","Nashville","","+16152922884"
"Team St. Henry Catholic Church","St. Henry Catholic Church","Nashville","user@domain.com","+16153522259"
"Team Our Lady Guadalupe Catholic Church","Our Lady Guadalupe Catholic Church","Nashville","olog3112@gmail.com","+16153338660"
"Team Assumption Church","Assumption Church","Nashville","","+16152562729"
"Team St. Patrick Catholic Church","St. Patrick Catholic Church","Nashville","","+16152566498"
"Team Holy Name Catholic Church","Holy Name Catholic Church","Nashville","","+16152548847"
"Team Glendale United Methodist Church - Nashville","Glendale United Methodist Church - Nashville","Nashville","steph@glendaleumc.org","+16152976233"
"Team Greater Nashville Church","Greater Nashville Church","Nashville","","+16152806170"
"Team St. Ann Catholic Church","St. Ann Catholic Church","Nashville","","+16152981782"
"Team The Downtown Presbyterian Church","The Downtown Presbyterian Church","Nashville","info@dpchurch.com","+16152547584"
"Team Rhinestone Wedding Chapel","Rhinestone Wedding Chapel","Nashville","","+16155968100"
"Team White Velvet Chapel | Weddings & Elopements Nashville","White Velvet Chapel | Weddings & Elopements Nashville","Nashville","user@domain.com",""
"Team Skinner Chapel at Scarritt Bennett Center","Skinner Chapel at Scarritt Bennett Center","Nashville","weddings@scarrittbennett.org","+16153407500"
"Team The Village Chapel","The Village Chapel","Nashville","","+16152974747"
"Team Rich Events","Rich Events","Nashville","","+16153052021"
"Team Wightman Chapel at Scarritt Bennett Center","Wightman Chapel at Scarritt Bennett Center","Nashville","weddings@scarrittbennett.org","+16153407500"
"Team The Chapel at Firefly Lane","The Chapel at Firefly Lane","Nashville","info@ndiscovered.com","+18653813870"
"Team The Chapel At Three Oaks","The Chapel At Three Oaks","Nashville","Caitlyn@3oakschurch.com","+16159891515"
"Team TN Tiny Weddings","TN Tiny Weddings","Nashville","","+16156868367"
"Team Scarritt Bennett Center","Scarritt Bennett Center","Nashville","sales@scarrittbennett.org","+16153407500"
"Team Marry Me of Tennessee","Marry Me of Tennessee","Nashville","","+16155620952"
