name,church,city,email,whatsapp,website,address,rating,reviews
"Team Cathedral of Our Lady of the Assumption","Cathedral of Our Lady of the Assumption","Jakarta","","+62213519186","http://www.katedraljakarta.or.id/index.php/gereja-katedral/","Jl. Katedral No.7B, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710, Indonesia",4.8,15117
"Team Saint Theresia Roman Catholic Church, Menteng","Saint Theresia Roman Catholic Church, Menteng","Jakarta","","+62213917708","http://www.gerejatheresia.org/","Jl. Gereja Theresia No.2, RT.8/RW.4, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350, Indonesia",4.9,4872
"Team GPIB Immanuel Jakarta","GPIB Immanuel Jakarta","Jakarta","gpib.immanueljkt@gmail.com","+62213440747","https://gpibimmanueljakarta.org/","Jl. Medan Merdeka Tim. No.10, RT.2/RW.1, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110, Indonesia",4.8,1195
"Team St. Paul's Protestant Church in West Indonesia, Jakarta","St. Paul's Protestant Church in West Indonesia, Jakarta","Jakarta","","+62213841553","http://www.gpibpaulusjakarta.org/","Jl. Taman Sunda Kelapa No.12, RT.6/RW.4, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310, Indonesia",4.8,1429
"Team Jakarta International Christian Fellowship","Jakarta International Christian Fellowship","Jakarta","info@jicf.org","+62212526719","https://www.jicf.org/","Jl. Jenderal Sudirman No.58 5, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia",4.8,96
"Team Jakarta Praise Community Church (JPCC The Kasablanka Campus)","Jakarta Praise Community Church (JPCC The Kasablanka Campus)","Jakarta","date@jpcc.org","+622129865777","http://www.jpcc.org/","Kota Kasablanka Mall 3rd-4th floor, Tebet, Jl. Raya Casablanca Raya No.Kav. 88, RT.16/RW.5, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870, Indonesia",4.7,355
"Team Indonesian Reformed Evangelical Church","Indonesian Reformed Evangelical Church","Jakarta","","+622165867811","http://www.grii.org/","Reformed Millennium Center Indonesia, Jl. Industri Raya Blok B14 No.Kav. 1, RT.9/RW.10, Gn. Sahari Sel., Kec. Kemayoran, Jkt Utara, Daerah Khusus Ibukota Jakarta 10720, Indonesia",4.8,528
"Team Gereja Katolik Santa Perawan Maria Ratu, Paroki Blok Q, Kebayoran Baru","Gereja Katolik Santa Perawan Maria Ratu, Paroki Blok Q, Kebayoran Baru","Jakarta","user@domain.com","+62217208640","http://www.gerejasanta.org/","Jl. Suryo No.62, RT.1/RW.4, Rw. Bar., Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12180, Indonesia",4.8,1281
"Team IES Jakarta","IES Jakarta","Jakarta","","+6281268886437","https://www.iesjakarta.org/","TCC Batavia, 8th floor, Karet Tengsin, Tanah Abang, Jakarta, 10250, Indonesia",4.9,48
"Team St. Andrew Kim Tae-gon Catholic Church","St. Andrew Kim Tae-gon Catholic Church","Jakarta","","+622122457027","http://ktg.or.id/","Puspa Gading Timur No.1 blok H2, RT.5/RW.2, Pegangsaan Dua, Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14250, Indonesia",4.8,1475
